MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label_1,Label_2,Label_3,Label_4
11.75,7.46,18.51,12.34,7.0,15.58,4.78,18.21,15.42,41.05,11.3,0,0,0,1
14.94,15.32,11.63,18.44,11.68,23.62,9.63,8.95,13.32,43.22,12.47,1,0,0,0
11.94,7.46,17.07,11.13,6.92,17.22,5.15,15.37,15.09,41.05,10.82,0,0,0,1
12.77,7.08,16.1,10.61,6.53,15.33,5.73,13.49,15.09,42.66,11.99,0,1,0,0
14.87,16.17,10.3,18.52,12.45,24.3,10.59,8.92,16.27,42.11,12.23,1,0,0,0
12.67,7.08,15.9,10.57,6.53,15.39,5.75,13.27,15.09,42.11,11.94,0,1,0,0
10.87,7.16,17.73,11.26,6.53,16.31,4.54,16.5,14.83,39.55,10.25,0,0,0,1
11.39,7.64,17.96,11.86,7.03,16.93,4.9,16.78,15.15,41.32,10.91,0,0,0,1
11.75,7.76,18.51,12.49,7.17,16.04,4.92,17.97,15.35,41.58,11.3,0,0,0,1
11.94,7.22,16.37,10.41,6.78,16.44,5.15,15.31,15.22,42.66,11.3,0,0,0,1
11.89,7.61,18.75,12.49,7.11,15.78,4.86,18.45,15.49,40.54,11.34,0,0,0,1
12.23,6.91,17.88,9.93,6.7,14.42,5.39,16.16,15.91,42.38,11.85,0,0,1,0
12.52,6.91,17.51,9.97,6.67,14.18,5.41,15.83,15.7,43.22,11.94,0,0,1,0
12.08,6.83,17.66,9.81,6.67,14.53,5.36,15.76,15.91,44.96,11.99,0,0,1,0
11.13,7.46,18.35,11.95,6.86,16.38,4.76,17.51,15.15,39.55,11.17,0,0,0,1
11.99,7.05,16.17,10.2,6.64,16.11,5.06,15.5,15.15,38.59,11.21,0,0,0,1
11.85,6.97,16.17,10.08,6.53,15.91,4.98,15.5,15.02,41.05,10.74,0,0,0,1
11.39,7.49,17.58,11.39,6.94,17.3,5.11,15.83,15.09,40.8,11.08,0,0,0,1
11.48,7.55,17.81,11.62,6.97,17.22,5.06,16.09,15.09,41.58,11.08,0,0,0,1
12.62,7.02,17.14,10.16,6.64,14.71,5.54,15.0,15.29,42.94,12.27,0,1,0,0
14.4,11.58,13.36,16.54,8.95,21.14,7.68,9.75,13.49,42.66,11.8,1,0,0,0
11.99,7.58,18.67,12.59,7.14,15.65,4.9,18.69,15.56,41.32,11.43,0,0,0,1
12.72,7.14,15.97,10.65,6.53,15.33,5.73,13.82,15.15,43.78,11.99,0,1,0,0
11.8,7.55,18.67,12.44,7.09,15.65,4.84,18.53,15.42,41.32,11.43,0,0,0,1
11.53,7.73,18.19,11.95,7.06,17.15,4.96,17.0,15.29,41.32,10.95,0,0,0,1
15.06,15.14,11.86,18.44,11.73,23.62,9.56,9.2,13.26,44.07,12.98,1,0,0,0
12.18,7.22,16.51,10.37,6.81,16.31,5.19,15.83,15.29,41.58,11.34,0,0,0,1
14.4,11.86,13.2,16.76,9.24,22.03,7.83,9.68,13.43,42.66,12.42,1,0,0,0
11.85,7.58,18.67,12.44,7.06,15.71,4.82,18.37,15.42,39.55,11.17,0,0,0,1
14.94,16.03,10.58,18.44,12.25,24.07,10.38,8.99,18.08,42.94,11.94,1,0,0,0
12.08,7.16,16.93,10.05,6.78,15.39,5.21,15.56,15.49,41.58,11.17,0,0,0,1
13.5,7.98,14.89,12.39,6.83,17.22,6.35,11.78,14.57,42.38,11.89,0,1,0,0
11.71,6.74,17.07,9.58,6.51,14.71,5.06,15.89,15.42,38.59,10.7,0,0,0,1
11.39,7.64,18.04,11.9,7.03,17.08,5.0,17.14,15.09,41.84,11.75,0,0,0,1
12.32,7.19,16.79,10.2,6.86,15.78,5.28,15.63,15.56,43.22,11.34,0,0,0,1
11.44,7.73,18.19,12.05,7.09,17.15,5.0,16.86,15.15,42.94,11.12,0,0,0,1
12.13,6.88,17.66,9.89,6.72,14.53,5.36,15.96,15.91,43.5,12.18,0,0,1,0
11.35,7.64,18.27,12.05,7.0,16.65,4.84,19.79,15.15,39.3,11.39,0,0,0,1
11.85,7.58,18.67,12.44,7.09,15.65,4.84,18.61,15.49,41.05,11.12,0,0,0,1
11.21,7.46,18.04,11.67,6.81,16.79,4.76,17.07,15.09,39.79,10.95,0,0,0,1
11.85,7.34,16.51,10.61,6.89,16.72,5.21,15.25,15.29,41.58,11.12,0,0,0,1
11.99,7.7,18.75,12.49,7.17,15.91,4.9,18.77,15.56,42.11,11.34,0,0,0,1
11.89,7.61,18.67,12.49,7.11,15.84,4.86,18.37,15.49,41.05,11.08,0,0,0,1
12.32,7.19,16.79,10.24,6.89,15.97,5.28,17.14,15.49,41.58,11.08,0,0,0,1
11.3,7.67,18.27,12.1,7.03,16.72,4.88,20.24,15.15,39.79,11.48,0,0,0,1
11.8,7.49,17.51,11.35,6.92,17.3,5.09,15.76,15.02,40.29,11.71,0,0,0,1
14.69,13.09,12.94,17.42,9.99,22.03,8.2,9.53,13.32,43.5,12.27,1,0,0,0
11.62,7.79,18.75,12.54,7.23,16.04,4.98,18.29,15.49,41.32,11.04,0,0,0,1
13.34,7.67,15.14,11.86,6.7,16.72,6.15,12.06,14.76,42.94,11.94,0,1,0,0
12.28,7.16,16.79,10.2,6.86,15.78,5.26,15.63,15.56,46.19,11.57,0,0,0,1
11.44,7.55,17.88,11.62,6.97,17.15,5.06,16.3,15.09,40.29,10.65,0,0,0,1
12.08,6.94,17.43,9.85,6.72,14.71,5.28,16.43,15.77,40.04,11.39,0,0,1,0
14.94,14.59,12.29,18.2,11.28,23.07,8.98,9.31,13.32,43.22,12.57,1,0,0,0
13.5,7.95,14.89,12.39,6.83,17.22,6.35,11.73,14.57,42.38,12.03,0,1,0,0
14.87,14.18,12.48,18.04,11.1,22.86,8.8,9.49,13.32,42.38,12.27,1,0,0,0
11.39,6.5,16.86,9.29,6.25,14.3,4.92,15.63,15.15,40.54,10.57,0,0,0,1
11.66,7.76,18.43,12.44,7.23,16.58,4.96,17.51,15.29,40.8,11.52,0,0,0,1
11.89,7.34,16.44,10.57,6.86,16.65,5.19,15.37,15.29,41.58,10.91,0,0,0,1
11.08,5.94,15.9,8.76,5.53,13.09,4.66,14.16,14.2,38.59,10.65,0,0,1,0
12.08,7.16,16.93,10.2,6.86,15.78,5.28,15.63,15.56,42.38,11.66,0,0,0,1
14.34,10.71,13.63,15.99,8.37,20.58,7.41,9.91,13.54,43.5,12.27,0,1,0,0
11.94,8.11,18.51,12.59,7.09,15.52,4.84,19.1,15.42,40.04,11.21,0,0,0,1
11.39,7.61,18.04,11.9,7.03,17.08,5.0,16.57,15.15,41.32,10.7,0,0,0,1
11.85,7.55,18.67,12.44,7.06,15.84,4.84,18.45,15.49,39.79,11.12,0,0,0,1
12.72,7.85,13.25,12.69,6.32,17.74,5.94,9.99,13.37,40.04,11.26,0,1,0,0
11.8,7.37,16.72,10.87,6.94,17.08,5.19,15.31,15.29,42.38,11.34,0,0,0,1
13.34,7.67,15.39,11.67,6.72,16.79,6.15,12.25,14.89,42.66,12.03,0,1,0,0
12.18,7.11,16.72,10.24,6.75,15.97,5.17,17.0,15.35,41.58,11.48,0,0,0,1
12.52,6.99,17.21,10.12,6.64,14.65,5.5,15.44,15.29,42.38,12.03,0,1,0,0
13.56,8.04,14.83,12.39,6.83,17.3,6.46,11.69,14.51,41.84,12.18,0,1,0,0
11.85,7.58,18.67,12.39,7.06,15.71,4.82,20.52,15.42,41.58,10.91,0,0,0,1
11.94,8.01,18.51,12.59,7.09,15.02,4.84,19.27,15.35,39.79,11.12,0,0,0,1
11.62,7.7,18.35,12.39,7.14,16.04,4.9,17.67,15.22,41.05,11.08,0,0,0,1
11.39,7.49,17.58,11.39,6.92,17.3,5.09,15.76,15.09,42.94,10.99,0,0,0,1
10.78,7.08,17.36,11.39,6.19,13.73,4.2,17.74,14.51,38.59,10.17,0,0,0,1
14.58,13.2,12.83,17.42,10.03,22.03,8.2,9.42,13.26,43.22,12.67,1,0,0,0
