MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.99,7.7,18.51,12.59,7.11,15.39,4.88,18.94,15.49,41.32,11.39,4
11.35,7.52,17.66,11.44,6.94,17.15,5.09,16.02,15.02,40.8,10.99,4
11.39,7.61,17.96,11.86,7.03,17.08,5.02,16.5,15.09,40.04,10.87,4
15.0,15.51,11.4,18.44,11.96,23.84,9.83,8.95,15.29,42.66,12.18,1
14.75,12.78,12.99,17.27,9.87,23.07,8.14,9.57,13.32,43.5,12.62,1
11.8,7.25,16.37,10.57,6.81,16.65,5.15,15.18,15.09,40.29,11.12,4
14.81,16.3,9.86,18.69,12.64,24.65,10.98,8.99,13.15,42.66,12.13,1
12.18,6.88,17.88,9.89,6.7,14.42,5.36,16.57,15.77,42.66,12.13,3
15.06,15.01,12.05,18.44,11.46,23.4,9.26,9.24,13.26,42.94,12.72,1
11.17,7.49,17.88,12.1,6.97,15.71,4.78,17.36,14.96,39.3,10.53,4
11.44,7.61,18.59,12.34,7.06,15.84,4.84,18.13,15.49,41.05,11.04,4
12.72,7.08,15.97,10.61,6.53,15.2,5.7,13.54,15.09,42.11,12.03,2
14.94,16.3,9.67,18.77,12.95,25.38,10.85,9.09,13.37,42.38,12.62,1
12.62,7.05,17.07,10.16,6.61,14.71,5.57,14.81,15.29,42.66,12.37,2
11.39,7.58,18.51,12.34,7.03,15.78,4.82,18.05,15.42,40.8,11.21,4
11.48,7.73,18.35,12.1,7.06,16.86,4.9,17.44,15.29,41.58,10.7,4
12.72,7.19,15.97,10.65,6.53,15.39,5.75,13.33,15.15,42.94,12.08,2
14.17,11.05,13.52,16.19,8.61,20.77,7.5,9.99,13.54,43.78,12.52,1
11.85,7.37,17.0,11.0,6.86,17.08,5.11,15.12,15.09,41.05,11.3,4
12.77,7.25,15.97,10.7,6.53,15.45,5.77,13.27,15.15,42.94,12.27,2
11.99,8.04,18.43,12.54,7.06,15.02,4.82,18.94,15.35,41.58,11.34,4
14.94,14.95,12.0,18.28,11.32,23.4,9.3,9.13,13.32,43.22,11.94,1
11.62,8.04,18.51,12.64,7.14,15.08,4.86,19.02,15.35,43.22,11.34,4
12.08,6.83,17.51,9.77,6.61,14.42,5.3,15.83,15.56,42.38,11.52,3
12.08,6.99,16.58,10.08,6.7,15.84,5.15,15.25,15.35,41.58,11.17,4
11.71,7.43,17.07,11.04,6.89,17.15,5.13,15.25,15.09,41.58,11.21,4
11.35,7.55,18.43,12.29,7.0,15.78,4.8,17.97,15.22,40.29,11.08,4
11.04,7.31,17.96,11.58,6.7,16.51,4.66,16.86,14.96,39.79,10.95,4
11.39,7.49,17.88,12.05,6.94,15.78,4.76,17.36,14.89,39.3,10.7,4
12.42,6.91,17.51,9.93,6.64,14.24,5.39,15.76,15.63,42.66,12.08,3
12.72,7.11,15.97,10.57,6.53,15.2,5.7,13.54,15.09,41.84,11.94,2
12.08,6.97,17.58,9.93,6.75,14.83,5.3,17.89,15.84,42.66,11.3,3
11.8,7.34,16.3,10.57,6.89,16.65,5.21,15.18,15.15,40.29,11.26,4
11.99,8.11,18.51,12.54,7.09,15.14,4.84,19.27,15.42,41.58,11.12,4
11.66,7.73,18.43,12.39,7.2,16.11,4.92,17.82,15.35,40.29,11.17,4
14.28,11.18,13.46,16.33,8.74,20.86,7.59,9.79,13.49,43.78,12.67,1
12.57,7.02,17.29,10.12,6.64,14.65,5.52,15.37,15.29,43.22,12.03,2
11.94,7.05,16.93,9.93,6.7,15.39,5.17,15.44,15.42,42.11,10.95,4
12.32,7.16,16.79,10.24,6.89,15.91,5.28,15.63,15.56,43.78,11.52,4
13.5,7.98,14.83,12.29,6.83,17.22,6.38,11.64,14.57,42.38,12.18,2
14.28,10.58,13.68,15.85,8.21,20.31,7.32,10.26,13.66,42.94,12.32,2
11.3,7.22,17.96,11.9,6.61,14.95,4.5,18.29,14.96,39.3,10.78,4
14.58,13.2,12.88,17.5,10.15,22.13,8.5,9.53,13.32,46.83,11.85,1
11.48,7.67,18.75,12.49,7.09,15.84,4.86,18.69,15.49,41.05,11.26,4
14.94,14.83,12.14,18.36,11.28,23.29,9.23,9.2,13.49,43.78,12.13,1
11.94,8.04,18.51,12.54,7.06,15.02,4.82,18.94,15.35,41.84,10.65,4
11.44,7.64,18.04,11.86,7.06,17.15,5.04,16.23,15.09,44.37,10.91,4
11.94,6.97,17.14,9.85,6.67,15.08,5.19,15.56,15.56,42.38,10.74,4
12.82,7.05,17.58,10.12,6.81,14.42,5.54,15.89,15.77,43.78,12.18,3
11.57,7.98,18.35,12.69,7.14,15.08,4.86,18.94,15.42,39.79,11.39,4
11.99,6.74,17.43,9.7,6.59,14.36,5.28,15.89,15.77,43.22,11.85,3
11.99,7.43,17.07,11.04,6.94,17.15,5.13,15.25,15.09,41.05,11.52,4
13.78,8.77,14.42,13.6,7.14,18.68,6.74,10.93,14.2,44.07,11.89,2
11.35,7.64,17.96,11.9,7.0,17.01,4.98,16.64,15.02,39.06,10.82,4
11.39,7.61,17.96,11.81,7.0,17.08,5.02,16.57,15.09,40.04,10.74,4
12.82,7.08,16.65,10.41,6.64,14.65,5.63,14.45,15.22,42.94,12.27,2
11.48,7.61,17.81,11.58,7.0,17.22,5.09,16.09,15.15,41.05,11.04,4
14.23,10.83,13.52,16.05,8.44,20.58,7.44,9.75,13.43,42.94,12.27,1
11.66,7.76,18.43,12.34,7.14,16.86,4.9,17.59,15.35,41.58,10.95,4
11.94,7.05,16.86,9.97,6.72,15.45,5.17,15.63,15.42,41.84,10.91,4
11.3,7.67,18.04,12.29,7.14,16.17,4.88,17.67,14.96,40.29,10.87,4
12.87,6.91,17.29,9.97,6.64,14.18,5.43,15.63,15.56,42.66,12.08,3
12.18,7.28,16.37,10.45,6.78,16.38,5.15,15.76,15.29,41.58,11.04,4
11.99,7.11,17.0,9.97,6.75,15.45,5.19,15.5,15.42,41.32,10.49,4
11.44,7.58,17.73,11.58,6.97,17.22,5.09,15.96,15.09,40.8,11.71,4
11.39,7.52,17.96,12.05,6.97,15.78,4.78,17.36,14.89,38.36,11.12,4
11.53,7.02,16.58,10.53,6.51,16.51,4.86,14.87,14.83,40.29,10.13,4
11.66,7.73,18.43,12.39,7.14,16.65,4.92,17.51,15.29,41.32,10.7,4
11.99,7.14,17.07,9.97,6.75,15.33,5.19,15.63,15.42,42.38,11.12,4
14.87,14.24,12.43,18.12,10.93,23.07,8.87,9.38,13.32,42.94,12.67,1
14.52,11.67,13.3,16.54,8.95,21.14,7.71,9.75,13.43,43.78,12.03,1
12.13,6.94,17.51,9.89,6.75,14.77,5.32,15.76,15.84,42.38,11.39,3
12.32,7.49,17.29,11.3,6.94,17.3,5.13,15.56,15.09,38.59,10.95,4
